objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,display_template,type,format,language,rights,rightsstatement
col008_mp_187,col008_meridianpolice_180.jpg,Boise Police Department Patch,Boise Police Department,2007,"Boise Police Department patch, part of MPD's Idaho patch and badge collection circa 2007. The patch and badge collection hangs on the MPD meeting room wall, and indicates the respect Meridian Police officers have for other police in the surrounding areas. ",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_188,col008_meridianpolice_181.jpg,Garden City Police Officer Badge,Garden City Police Department,2007,"Garden City Police Officer badge, part of MPD's Idaho patch and badge collection circa 2007. The patch and badge collection hangs on the MPD meeting room wall, and indicates the respect Meridian Police officers have for other police in the surrounding areas. ",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_189,col008_meridianpolice_182.jpg,Garden City Police Officer Badge,Garden City Police Department,2007,"Garden City Police Officer badge, part of MPD's Idaho patch and badge collection circa 2007. The patch and badge collection hangs on the MPD meeting room wall, and indicates the respect Meridian Police officers have for other police in the surrounding areas.",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_190,col008_meridianpolice_183.jpg,Garden City Police Officer Badge,Garden City Police Department,2007,"Garden City Police Officer badge, part of MPD's Idaho patch and badge collection circa 2007. The patch and badge collection hangs on the MPD meeting room wall, and indicates the respect Meridian Police officers have for other police in the surrounding areas.",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_191,col008_meridianpolice_184.jpg,Garden City Police Patch,Garden City Police Department,2007,"Garden City Police Officer patch, part of MPD's Idaho patch and badge collection circa 2007. The patch and badge collection hangs on the MPD meeting room wall, and indicates the respect Meridian Police officers have for other police in the surrounding areas.",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_192,col008_meridianpolice_185.jpg,Nampa Police Detective Badge,Nampa Police Department,2011,"Nampa Police Detective badge, part of MPD's Idaho patch and badge collection circa 2011. The patch and badge collection hangs on the MPD meeting room wall, and indicates the respect Meridian Police officers have for other police in the surrounding areas.",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_193,col008_meridianpolice_186.jpg,Nampa Police Sergeant Badge,Nampa Police Department,2011,"Nampa Police Sergeant badge, part of MPD's Idaho patch and badge collection circa 2011. The patch and badge collection hangs on the MPD meeting room wall, and indicates the respect Meridian Police officers have for other police in the surrounding areas.",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_194,col008_meridianpolice_187.jpg,Nampa Police Corporal Badge ,Nampa Police Department,2011,"Nampa Police Corporal badge, part of MPD's Idaho patch and badge collection circa 2011. The patch and badge collection hangs on the MPD meeting room wall, and indicates the respect Meridian Police officers have for other police in the surrounding areas.",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_195,col008_meridianpolice_188.jpg,Nampa Police Special Investigations Unit Coin (Front & Back),Nampa Police Department,2011,"Nampa Police Special Investigations Unit coin (front & back), part of MPD's Idaho patch and badge collection circa 2011. The patch and badge collection hangs on the MPD meeting room wall, and indicates the respect Meridian Police officers have for other police in the surrounding areas.",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_196,col008_meridianpolice_189.jpg,Nampa Police 120th Anniversary Coin (Front & Back),Nampa Police Department,2011,"Nampa Police 120th Anniversary coin (front & back), part of MPD's Idaho patch and badge collection circa 2011. The patch and badge collection hangs on the MPD meeting room wall, and indicates the respect Meridian Police officers have for other police in the surrounding areas.",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_197,col008_meridianpolice_190.jpg,"Nampa Police Department Integreity, Honor, Respect Coin (Front)",Nampa Police Department,2011,"Nampa Police Department Integirity, Honor, Respect coin (front), part of MPD's Idaho patch and badge collection circa 2011. The patch and badge collection hangs on the MPD meeting room wall, and indicates the respect Meridian Police officers have for other police in the surrounding areas.",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_198,col008_meridianpolice_191.jpg,"Nampa Police Department Integrity Honor, Respect Coin (Back)",Nampa Police Department,2011,"Nampa Police Integrity, Honor, Respect coin (back), part of MPD's Idaho patch and badge collection circa 2011. The patch and badge collection hangs on the MPD meeting room wall, and indicates the respect Meridian Police officers have for other police in the surrounding areas.",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_199,col008_meridianpolice_192.jpg,Nampa Police Tactical Response Team Coin (Front),Nampa Police Department,2011,"Nampa Police Tactical Response Team coin (front), part of MPD's Idaho patch and badge collection circa 2011. The patch and badge collection hangs on the MPD meeting room wall, and indicates the respect Meridian Police officers have for other police in the surrounding areas.",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_200,col008_meridianpolice_193.jpg,Nampa Police Tactical Response Team Coin (Back),Nampa Police Department,2011,"Nampa Police Tactical Response Team coin (back), part of MPD's Idaho patch and badge collection circa 2011. The patch and badge collection hangs on the MPD meeting room wall, and indicates the respect Meridian Police officers have for other police in the surrounding areas.",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_201,col008_meridianpolice_194.jpg,Nampa Police Department Patch,Nampa Police Department,2011,"Nampa Police Department patch, part of MPD's Idaho patch and badge collection circa 2011. The patch and badge collection hangs on the MPD meeting room wall, and indicates the respect Meridian Police officers have for other police in the surrounding areas.",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
